"Subno"	"Condition"	"Experimenter"	"Gun_type"	"Power"	"Pilot"	"speech_protect"	"gun_protect"	"game_amend"	"gun_amendment"	"media_reg"	"gun_reg"	"ben_risk"	"glad_speech"	"glad_gun"	"AR_1"	"AR_2"	"AR_3"	"AR_4"	"AR_5"	"AR_6"	"AR_7"	"AR_8"	"AR_pay"	"want"	"need"	"us_gun_laws"	"us_rifle"	"guns_det"	"gun_carry"	"school_staff"	"per_1"	"per_2"	"per_3"	"per_4"	"magazine_cap"	"own_gun"	"list_gun_names"	"play_viol_games"	"viol_hours"	"pol_orien"	"Gender"	"Age"	"Race"	"Coll_year"	"GPA"	"p_key_value_1"	"p_key_value_2"	"Notes"	"amend1"	"amend2"	"AR_desire"	"AR_intent"	"AR_price"	"AR_price_blank"	"game_gun_desire"	"policy"	"magazine_cap_bin"
104	2	"Jacob"	1	0	NA	7	5	4	6	7	7	4	7	7	1	1	7	7	7	1	1	1	"0.250000"	1	1	1	1	1	5	1	10	3	1.5	5	30	1	"savage 30-06 rifle"	0	0	4	1	19	3	1	3.8	3	132	"accidentally showed wrong cover story, so switched condition"	29	25	23	3	0.25	0	2	9	"greater"
105	3	"Jacob"	0	1	NA	6	5	3	3	2	2	5	5	3	2	3	2	6	6	2	1	1	"blank"	2	7	6	6	7	5	1	20	10	30	10	30	0	NA	0	0	3	0	23	1	3	3.4	11	220	NA	21	13	19	4	NA	1	9	25	"greater"
106	1	"Candice"	0	0	NA	5	4	2	4	2	1	4	7	2	2	3	1	2	4	4	1	1	"0.000000"	1	1	7	4	5	3	1	15	20	5	20	5	1	"none listed"	0	0	1	0	18	2	1	3.87	8	61	"checked yes for owning a firearm but didn't list any guns..maybe a mistake?"	20	11	12	6	0	0	2	20	"other"
107	2	"jacob"	1	0	NA	6	2	1	6	1	1	1	7	1	1	7	1	4	5	1	1	1	"blank"	1	1	5	7	7	2	1	30	5	10	0.5	4	0	NA	0	0	1	0	20	2	3	3	5	69	"she thought she beat the game when she had gotten to the end of the level. Didn't come get me or anything. "	16	10	18	3	NA	1	2	22	"other"
108	4	"Mallorie"	1	1	NA	7	3	1	1	4	3	3	6	2	1	1	1	6	6	1	1	1	"blank"	1	1	6	4	5	1	1	0	40	2	50	15	0	NA	0	0	1	0	19	2	1	3.8	4	156	"had some trouble with the controls, couldn't tell if participate wrote \"10\" or \"20\" for bullets in a magazine..marked it as 15"	21	9	15	3	NA	1	2	17	"other"
109	1	"Mallorie"	0	0	NA	6	2	5	2	NA	3	4	7	2	6	1	5	6	7	6	1	1	"100.000000"	1	1	7	7	7	5	1	30	5	3	2	10	0	NA	1	1	3	1	19	5	1	2.8	3	287	"arrived 15 minutes late. No response for media question "	NA	9	25	8	100	0	2	27	"other"
110	4	"Mallorie"	1	1	NA	6	6	4	5	4	2	3	7	6	6	3	4	6	6	6	2	2	"blank"	2	1	4	4	5	5	3	60	30	10	10	12.5	0	NA	1	5	2	1	19	5	1	2.9	0	322	"\"less than 5\" for hours of games played"	24	19	25	10	NA	1	3	21	"other"
111	3	"Mallorie"	0	1	NA	6	4	6	5	3	2	4	7	4	1	1	2	7	7	1	1	1	"blank"	1	1	7	7	7	2	3	30	5	15	25	6	0	NA	1	1	1	1	19	5	1	3.8	4	332	NA	26	15	18	3	NA	1	2	26	"other"
112	2	"Candice"	1	0	NA	6	4	4	5	5	5	4	6	4	6	3	3	5	4	6	4	3	"250.000000"	3	3	3	1	3	3	3	20	10	10	5	30	0	NA	1	2.5	5	1	18	5	1	3	0	79	"He took an unusual amount of time to complete the survey (15-20mins)"	25	18	21	13	250	0	6	13	"greater"
113	4	"Candice"	1	1	NA	5	6	5	7	4	7	5	3	5	3	1	2	7	7	4	2	1	"100.000000"	3	1	2	5	4	7	4	5	50	40	40	10	0	NA	1	2	2	1	19	5	1	3	1	156	NA	22	25	20	7	100	0	4	22	"other"
114	3	"Jacob"	0	1	NA	7	7	5	7	7	4	6	7	7	5	1	2	3	7	4	1	1	"blank"	1	1	5	5	5	7	1	15	3	40	9	3	0	NA	1	0.5	3	0	19	5	1	2.8	13	311	NA	32	25	18	6	NA	1	2	23	"other"
115	1	"Jacob"	0	0	NA	7	5	5	5	1	3	6	7	7	1	3	NA	1	7	1	1	1	"0.000000"	1	1	7	5	7	4	3	10	0	15	20	20	0	NA	0	0	2	0	19	2	1	2	4	97	"no response for AR_3"	26	20	NA	3	0	0	2	26	"other"
116	2	"Jacob"	1	0	NA	5	1	7	2	3	1	5	6	1	1	1	1	1	1	1	1	1	"blank"	1	1	7	7	7	1	1	70	50	50	50	1	0	NA	0	0	3	1	21	5	3	2.4	4	138	NA	26	5	5	3	NA	1	2	23	"other"
117	2	"Jacob"	1	0	NA	5	6	6	7	6	4	5	6	6	7	4	4	7	5	7	5	3	"750.000000"	5	1	2	2	1	7	6	17	6	5	15	13.5	1	"mossberg, winchester, remington, browning 12gauges about 20 of them and about 4 20gauges. Smith & Wesson .38 special and .357 trooper special. Two .25 handguns and about 5 .22 (rifle and handguns combined)"	1	2.5	3	1	20	5	2	2.9	3	188	"took off headphones"	28	23	27	15	750	0	6	18	"other"
